"subway_line_used_most_often","use_of_subway_frequency","get_to_subway_via","primary_use_of_subway","average_length_subway_ride","overall_satisfaction","frequency_of_delays","approximate_delay_duration","alternative_transport","frequency_of_rerouting","top_three_complaints","most_common_reason_for_delay","is_subway_affordable","opinion_on_increased_fares","submitted_at","survey_stop_borough","survey_stop_location","zip_code","collection_method"
"1","Once a week","Bus","Work","20 - 40 min","Neutral","A few times a week","10 - 20 min","Wait for next train","NA","['Delays', 'Crime / Safety', 'Station infrastructure']","Waiting for signal change","true","Neutral","01/07/2019 @ 07:21 AM","Queens","Queens Plaza","11367","in person"
"E","Weekdays, Mon - Fri","Walk","Work","40 - 60 min","Not satisfied","A few times a week","10 - 20 min","Use another train","All the time","['Delays', 'Frequent route changes', 'High fares']","Train traffic","false","Unaware","01/07/2019 @ 07:25 AM","Queens","Queens Plaza","NA","in person"
"F","Once a month","Bus","Other","40 - 60 min","Very satisfied","A few times a week","20 - 45 min","Wait for next train","Only at night","['Delays']","Train traffic","true","Unaware","01/07/2019 @ 07:30 AM","Queens","Queens Plaza","11432","in person"
"7","Weekdays, Mon - Fri","Walk","Work","< 20 min","Very satisfied","Everyday","10 - 20 min","Walk","Almost never","NA","Waiting for signal change","true","Neutral","01/07/2019 @ 07:39 AM","Queens","Queens Plaza","NA","in person"
"E","Weekdays, Mon - Fri","Bus","School","20 - 40 min","Somewhat satisfied","A few times a week","10 - 20 min","Wait for next train","Almost never","['Delays', 'Old trains', 'Overcrowded trains']","Train traffic","true","Other / No thoughts","01/07/2019 @ 07:49 AM","Queens","Queens Plaza","11436","in person"
"1","Everyday / Almost everyday","Walk","Work","40 - 60 min","Not satisfied","A few times a week","5 - 10 min","For-hire vehicle","All the time","['Delays', 'High fares', 'Lack of handicap access']","Train traffic","false","Positive","01/07/2019 @ 08:01 AM","Queens","30th Ave","11102","in person"
"1","Everyday / Almost everyday","Walk","Work","40 - 60 min","Not satisfied","A few times a week","5 - 10 min","For-hire vehicle","All the time","['Delays', 'High fares', 'Lack of handicap access']","Train traffic","false","Positive","01/07/2019 @ 08:01 AM","Queens","30th Ave","11102","in person"
"1","~5 days per week","Walk","Work","40 - 60 min","Neutral","Everyday","10 - 20 min","Use another train","Only on weekends","['Delays', 'High fares', 'Station infrastructure']","Waiting for signal change","false","Negative","01/07/2019 @ 08:13 AM","Queens","30th Ave","NA","in person"
"R","Everyday / Almost everyday","Walk","Work","20 - 40 min","Highly unsatisfied","Everyday","20 - 45 min","Use another train","All the time","['Delays', 'Frequent route changes', 'Overcrowded trains']","Train traffic","true","Positive","01/07/2019 @ 08:13 AM","Queens","Queens Plaza","11375","in person"
"1","More than once a week, varies","Walk","Work","60 - 90 min","Somewhat satisfied","Everyday","20 - 45 min","Wait for next train","All the time","['Delays', 'Frequent route changes', 'Customer service']","Signal malfunction","false","Positive","01/07/2019 @ 08:15 AM","Queens","30th Ave","NA","in person"
"1","~5 days per week","Citibike","School","90 min - 2 hours","Highly unsatisfied","A few times a week","10 - 20 min","Walk","All the time","['Delays', 'Frequent route changes', 'High fares']","Police incident","true","Positive","01/07/2019 @ 08:19 AM","Queens","30th Ave","NA","in person"
"Q","Everyday / Almost everyday","Walk","Work","40 - 60 min","Not satisfied","Everyday","5 - 10 min","For-hire vehicle","Only on weekends","['Delays', 'Old trains', 'Lack of handicap access']","Train traffic","true","Positive","01/07/2019 @ 08:20 AM","Queens","Queens Plaza","NA","in person"
"N","Everyday / Almost everyday","Walk","Work","20 - 40 min","Not satisfied","Everyday","10 - 20 min","For-hire vehicle","All the time","['Delays', 'Frequent route changes', 'Overcrowded trains']","Signal malfunction","false","Positive","01/07/2019 @ 08:22 AM","Queens","Queens Plaza","NA","in person"
"E","Everyday / Almost everyday","Walk","Work","20 - 40 min","Neutral","A few times a week","5 - 10 min","Wait for next train","Only on weekends","['Overcrowded trains']","Train traffic","true","Unaware","01/07/2019 @ 08:25 AM","Queens","Queens Plaza","NA","in person"
"A","NA","Walk","Work","60 - 90 min","Very satisfied","A few times a week","20 - 45 min","For-hire vehicle","Only at night","NA","Weather","true","Other / No thoughts","01/07/2019 @ 08:38 AM","Queens","Queens Plaza","11208","in person"
"7","Everyday / Almost everyday","Walk","Other","< 20 min","Very satisfied","Never","20 - 45 min","Take a bus","All the time","['High fares', 'Crime / Safety', 'Station infrastructure']","NA","true","NA","01/07/2019 @ 08:45 AM","Queens","30th Ave","NA","in person"
"A","Weekdays, Mon - Fri","Walk","Work","40 - 60 min","Neutral","A few times a week","10 - 20 min","Wait for next train","Almost never","['High fares', 'Overcrowded trains', 'Lack of handicap access']","Signal malfunction","false","Negative","01/07/2019 @ 08:45 AM","Queens","Queens Plaza","NA","in person"
"1","~5 days per week","Bus","Work","90 min - 2 hours","Neutral","Rarely","10 - 20 min","Wait for next train","Almost never","['Delays', 'Station infrastructure', 'Overcrowded trains']","Waiting for signal change","true","Positive","01/07/2019 @ 08:51 AM","Queens","Queens Plaza","10703","in person"
"D","Weekdays, Mon - Fri","Walk","School","40 - 60 min","Not satisfied","A few times a week","10 - 20 min","Wait for next train","Only on weekends","['Delays', 'Frequent route changes', 'High fares']","Train traffic","true","Unaware","01/07/2019 @ 08:57 AM","Queens","Queens Plaza","10001","in person"
"7","Weekdays, Mon - Fri","Walk","Work","40 - 60 min","Somewhat satisfied","Rarely","5 - 10 min","Wait for next train","Only on weekends","['Delays', 'Frequent route changes', 'Overcrowded trains']","Train traffic","false","Positive","01/07/2019 @ 09:00 AM","Queens","Queens Plaza","11377","in person"
"1","Everyday / Almost everyday","Walk","Work","20 - 40 min","Neutral","Everyday","10 - 20 min","Wait for next train","Only at night","['Delays', 'Overcrowded trains']","Train traffic","false","Positive","01/07/2019 @ 01:34 PM","Queens","Junction Boulevard","NA","in person"
"1","Everyday / Almost everyday","Bus","Other","40 - 60 min","Not satisfied","A few times a week","10 - 20 min","Take a bus","All the time","['Delays', 'Frequent route changes', 'Overcrowded trains']","Train traffic","false","Unaware","01/07/2019 @ 01:37 PM","Queens","Junction Boulevard","11369","in person"
"1","More than once a week, varies","Walk","Other","40 - 60 min","Neutral","Rarely","10 - 20 min","Wait for next train","Only on weekends","['High fares', 'Crime / Safety']","No reason is given","true","Other / No thoughts","01/07/2019 @ 01:38 PM","Queens","Flushing / Main Street","NA","in person"
"1","Weekdays, Mon - Fri","Bus","School","20 - 40 min","Somewhat satisfied","A few times a week","5 - 10 min","Wait for next train","Only at night","['Delays', 'Crime / Safety', 'Overcrowded trains']","Train traffic","true","Negative","01/07/2019 @ 01:47 PM","Queens","Court Square","11101","in person"
